 longitude,latitude,de,dn
  170.0000,-41.0000,9999.000000,9999.000000
  171.0000,-41.0000,  -0.000143,   0.000067
  172.0000,-41.0000,  -0.003078,   0.000369
  173.0000,-41.0000,  -0.006795,   0.000237
  174.0000,-41.0000,  -0.010351,  -0.001485
  175.0000,-41.0000,  -0.019815,  -0.005299
  165.0000,-40.0000,9999.000000,9999.000000
  166.0000,-40.0000,9999.000000,9999.000000
  167.0000,-40.0000,9999.000000,9999.000000
  168.0000,-40.0000,9999.000000,9999.000000
  169.0000,-40.0000,9999.000000,9999.000000
  170.0000,-40.0000,9999.000000,9999.000000
  171.0000,-40.0000,9999.000000,9999.000000
  172.0000,-40.0000,9999.000000,9999.000000
  173.0000,-40.0000,  -0.002503,  -0.000043
  174.0000,-40.0000,  -0.005557,  -0.001065
  175.0000,-40.0000,  -0.008842,  -0.003135
  165.0000,-39.0000,9999.000000,9999.000000
  166.0000,-39.0000,9999.000000,9999.000000
  167.0000,-39.0000,9999.000000,9999.000000
  168.0000,-39.0000,9999.000000,9999.000000
  169.0000,-39.0000,9999.000000,9999.000000
  170.0000,-39.0000,9999.000000,9999.000000
  171.0000,-39.0000,9999.000000,9999.000000
  172.0000,-39.0000,9999.000000,9999.000000
  173.0000,-39.0000,9999.000000,9999.000000
  174.0000,-39.0000,  -0.001602,  -0.000910
  175.0000,-39.0000,  -0.001797,  -0.001735
  165.0000,-38.0000,9999.000000,9999.000000
  166.0000,-38.0000,9999.000000,9999.000000
  167.0000,-38.0000,9999.000000,9999.000000
  168.0000,-38.0000,9999.000000,9999.000000
  169.0000,-38.0000,9999.000000,9999.000000
  170.0000,-38.0000,9999.000000,9999.000000
  171.0000,-38.0000,9999.000000,9999.000000
  172.0000,-38.0000,9999.000000,9999.000000
  173.0000,-38.0000,9999.000000,9999.000000
  174.0000,-38.0000,9999.000000,9999.000000
  175.0000,-38.0000,  -0.000158,  -0.001108
  165.0000,-37.0000,9999.000000,9999.000000
  166.0000,-37.0000,9999.000000,9999.000000
  167.0000,-37.0000,9999.000000,9999.000000
  168.0000,-37.0000,9999.000000,9999.000000
  169.0000,-37.0000,9999.000000,9999.000000
  170.0000,-37.0000,9999.000000,9999.000000
  171.0000,-37.0000,9999.000000,9999.000000
